energy_densityc2,pressurec2
3.651837e+13,1.021721e+11
3.668741e+13,1.027639e+11
3.685722e+13,1.033595e+11
3.702782e+13,1.039582e+11
3.719922e+13,1.045598e+11
3.737139e+13,1.051654e+11
3.754438e+13,1.057746e+11
3.771816e+13,1.063863e+11
3.789283e+13,1.070020e+11
3.806822e+13,1.076213e+11
3.824443e+13,1.082437e+11
3.842145e+13,1.088697e+11
3.859929e+13,1.094993e+11
3.877795e+13,1.101325e+11
3.895745e+13,1.107689e+11
3.913777e+13,1.114091e+11
3.931892e+13,1.120528e+11
3.950101e+13,1.127003e+11
3.968384e+13,1.133516e+11
3.986753e+13,1.140056e+11
4.005206e+13,1.146644e+11
4.023745e+13,1.153261e+11
4.042369e+13,1.159925e+11
4.061090e+13,1.166617e+11
4.079888e+13,1.173348e+11
4.098771e+13,1.180130e+11
4.117744e+13,1.186939e+11
4.136812e+13,1.193787e+11
4.155960e+13,1.200675e+11
4.175197e+13,1.207603e+11
4.194523e+13,1.214570e+11
4.213938e+13,1.221578e+11
4.233453e+13,1.228627e+11
4.253048e+13,1.235650e+11
4.272733e+13,1.242845e+11
4.292521e+13,1.250017e+11
4.312389e+13,1.257229e+11
4.332350e+13,1.264472e+11
4.352412e+13,1.271767e+11
4.372558e+13,1.279049e+11
4.392798e+13,1.286418e+11
4.413140e+13,1.293829e+11
4.433567e+13,1.301294e+11
4.454089e+13,1.308792e+11
